After runcountTime2021-05-13T09:02:48.374
After rungetIndexTime2021-05-13T09:02:48.613
After run countTime2021-05-13T09:05:17.037
After run getIndexTime2021-05-13T09:05:17.209
After run countTime2021-05-13T09:05:21.373
After run viewTime2021-05-13T09:05:21.406
After run countTime2021-05-13T09:05:21.505
After run countTime2021-05-13T09:05:26.860
After run getIndexTime2021-05-13T09:05:26.865
After run countTime2021-05-13T09:05:37.184
After run getIndexTime2021-05-13T09:05:37.191
After run countTime2021-05-13T09:05:40.815
After run getIndexTime2021-05-13T09:05:40.821
After run countTime2021-05-13T09:05:42.784
After run getIndexTime2021-05-13T09:05:42.790
After run countTime2021-05-13T09:05:44.488
After run getIndexTime2021-05-13T09:05:44.494
After run countTime2021-05-13T09:05:45.331
After run getIndexTime2021-05-13T09:05:45.337
After run getIndexTime2021-05-13T09:08:15.041
After run getIndexTime2021-05-13T09:08:18.163
After run getIndexTime2021-05-13T09:08:19.530
After run getIndexTime2021-05-13T09:08:21.746
After run getIndexTime2021-05-13T09:08:22.777
After run getIndexTime2021-05-13T09:08:23.427
After run getIndexTime2021-05-13T09:08:24.135
After run giveBackTime2021-05-13T09:08:25.966
After run getIndexTime2021-05-13T09:08:27.294
After run viewTime2021-05-13T09:08:32.060
After run getIndexTime2021-05-13T09:08:36.537
After run getIndexTime2021-05-13T09:09:53.305
After run getIndexTime2021-05-13T09:09:57.796
After run viewTime2021-05-13T09:09:59.305
After run getIndexTime2021-05-13T09:10:01.531
After run giveBackTime2021-05-13T09:10:04.238
After run getIndexTime2021-05-13T09:10:05.468
After run getIndexTime2021-05-13T09:17:01.546
After run viewTime2021-05-13T09:17:05.150
After run viewTime2021-05-13T09:17:09.298
After run getIndexTime2021-05-13T09:18:56.515
After run viewTime2021-05-13T09:18:58.184
After run getIndexTime2021-05-13T09:19:00.082
After run viewTime2021-05-13T09:19:04.578
After run viewTime2021-05-13T09:20:55.881
After run viewTime2021-05-13T09:22:16.125
After run viewTime2021-05-13T09:22:19.815
After run viewTime2021-05-13T09:22:24.174
After run viewTime2021-05-13T09:22:47.594
After run getIndexTime2021-05-13T09:49:13.850
After run getIndexTime2021-05-13T09:51:14.410
After run viewTime2021-05-13T09:51:16.171
After run viewTime2021-05-13T09:51:22.552
After run viewTime2021-05-13T09:51:26.915
After run viewTime2021-05-13T09:51:29.394
After run viewTime2021-05-13T09:52:46.610
After run viewTime2021-05-13T09:52:49.838
After run getIndexTime2021-05-13T09:52:54.186
After run viewTime2021-05-13T09:52:55.707
After run viewTime2021-05-13T09:52:59.722
After run viewTime2021-05-13T09:53:38.215
After run viewTime2021-05-13T09:53:41.279
After run viewTime2021-05-13T09:55:52.220
After run viewTime2021-05-13T09:56:28.555
After run viewTime2021-05-13T09:56:36.306
After run getIndexTime2021-05-13T09:56:38.970
After run viewTime2021-05-13T09:56:40.398
After run viewTime2021-05-13T09:56:47.225
After run getIndexTime2021-05-15T08:31:30.862
After run viewTime2021-05-15T08:32:37.371
After run getIndexTime2021-05-15T08:43:55.723
After run viewTime2021-05-15T08:44:04.631
After run getIndexTime2021-05-15T08:44:12.665
After run viewTime2021-05-15T08:44:15.178
After run getIndexTime2021-05-15T08:44:16.946
After run viewTime2021-05-15T08:44:17.873
After run getIndexTime2021-05-15T08:44:23.745
After run viewTime2021-05-15T08:44:50.609
After run saveTime2021-05-15T08:45:05.818
After run getIndexTime2021-05-15T08:45:05.851
After run getIndexTime2021-05-15T09:11:29.520
